date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:16	816/816	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:06:32%20GMT	http://livedemo00.template-help.com/wt_50778	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778.0.delayed	(from )
22:13:16	27474/27474	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Sep%202017%2008:06:32%20GMT	http://livedemo00.template-help.com/wt_50778/	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/index.html	(from )
22:13:17	644/644	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Sep%202017%2008:06:32%20GMT	http://livedemo00.template-help.com/robots.txt		(from )
22:13:17	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:06:33%20GMT	http://livedemo00.template-help.com/wt_50778/img/favicon.ico	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/favicon.ico	(from http://livedemo00.template-help.com/wt_50778/)
22:13:17	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:06:33%20GMT	http://livedemo00.template-help.com/wt_50778/img/favicon.ico	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/favicon.ico	(from http://livedemo00.template-help.com/wt_50778/)
22:13:17	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:06:33%20GMT	http://livedemo00.template-help.com/wt_50778/css/bootstrap.css	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/css/bootstrap.css	(from http://livedemo00.template-help.com/wt_50778/)
22:13:18	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:06:34%20GMT	http://livedemo00.template-help.com/wt_50778/css/style.css	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/css/style.css	(from http://livedemo00.template-help.com/wt_50778/)
22:13:19	115389/115389	---MCZ	200	added ('OK')	text/css	etag:W/%2256b3645b-1c2bd%22	http://static.livedemo00.template-help.com/wt_50778/css/bootstrap.css	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/css/bootstrap.css	(from http://livedemo00.template-help.com/wt_50778/)
22:13:19	45036/45036	---MCZ	200	added ('OK')	text/css	etag:W/%2256b496ed-afec%22	http://static.livedemo00.template-help.com/wt_50778/css/style.css	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/css/style.css	(from http://livedemo00.template-help.com/wt_50778/)
22:13:19	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:06:35%20GMT	http://livedemo00.template-help.com/wt_50778/js/jquery.js	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/js/jquery.js	(from http://livedemo00.template-help.com/wt_50778/)
22:13:20	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:06:36%20GMT	http://livedemo00.template-help.com/wt_50778/js/device.js	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/js/device.js	(from http://livedemo00.template-help.com/wt_50778/)
22:13:21	92633/92633	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225721013e-169d9%22	http://static.livedemo00.template-help.com/wt_50778/js/jquery.js	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/js/jquery.js	(from http://livedemo00.template-help.com/wt_50778/)
22:13:21	2607/2607	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22526f61e8-a2f%22	http://static.livedemo00.template-help.com/wt_50778/js/device.js	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/js/device.js	(from http://livedemo00.template-help.com/wt_50778/)
22:13:21	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:06:37%20GMT	http://livedemo00.template-help.com/wt_50778/js/bootstrap.js	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/js/bootstrap.js	(from http://livedemo00.template-help.com/wt_50778/)
22:13:22	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:06:38%20GMT	http://livedemo00.template-help.com/wt_50778/js/core.js	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/js/core.js	(from http://livedemo00.template-help.com/wt_50778/)
22:13:22	21773/21773	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258385646-550d%22	http://static.livedemo00.template-help.com/wt_50778/js/core.js	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/js/core.js	(from http://livedemo00.template-help.com/wt_50778/)
22:13:23	61962/61962	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22525291fe-f20a%22	http://static.livedemo00.template-help.com/wt_50778/js/bootstrap.js	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/js/bootstrap.js	(from http://livedemo00.template-help.com/wt_50778/)
22:13:23	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:06:38%20GMT	http://livedemo00.template-help.com/wt_50778/js/script.js	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/js/script.js	(from http://livedemo00.template-help.com/wt_50778/)
22:13:23	15887/15887	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2253be5733-3e0f%22	http://static.livedemo00.template-help.com/wt_50778/js/script.js	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/js/script.js	(from http://livedemo00.template-help.com/wt_50778/)
